sample,Video Title,Video URL,Publish Date,Video Category,Comment,H/NH,Target Group,Hate Category,explanation
2318,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,"সব বেশ্যা কয়টা এক জোট বেধে আসছে।।।বেগুন ব্যবহার করা কয়টাই আসছে,,,,,,,,ভাথার জোটে না তো এখন রস কোথায় রাখবে তাই দেখানোর জন্য এত আয়োজন,,,,,পাবলিক ফ্রিতে মজা নাও😛🤑🤑🤑😄😄🤑😛",H,"Female,Group","Abusive/Violence,Personal Offence","নারীদের প্রতি চরম অবমাননাকর ও যৌন ইঙ্গিতপূর্ণ ভাষা ব্যবহার করা হয়েছে, যেখানে তাদের বেশ্যা বলা হয়েছে এবং অশ্লীল মন্তব্য করা হয়েছে। এই ধরনের ভাষা সরাসরি নারীদের সম্মানহানি করে এবং সমাজে তাদের মর্যাদাকে ক্ষুন্ন করে।"
2319,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,কলা আগলা মাছি কেন আছো।মাগি পাড়া যা,H,Female,"Abusive/Violence,Personal Offence",'মাগি পাড়া মন্তব্যটি বলার মাধ্যমে সরাসরি যৌনকর্মের সাথে জড়িত থাকার ইঙ্গিত দিয়ে চরম অপমান করা হয়েছে। এই ধরনের ভাষা একজন ব্যক্তির প্রতি চরম অবজ্ঞা ও ঘৃণার প্রকাশ।
2320,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,মাংগের বেডি তোর মাকে চোদম,H,Female,"Abusive/Violence,Personal Offence","এখানে সরাসরি যৌন সহিংসতার হুমকি এবং অশ্লীল গালাগালি ব্যবহার করা হয়েছে, মন্তব্যটি চরম অপমানজনক ও আক্রমণাত্মক। এই ধরনের ভাষা ব্যবহার করে একজন ব্যক্তিকে চরমভাবে হেয় করা হয়েছে।"
2321,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,ভাই ওর নাম্বার টা দিতে পারবেন ওরে একটু মলম দিতাম মাগি,H,Female,"Abusive/Violence,Personal Offence","'মাগি' শব্দ ব্যবহার করে সরাসরি যৌন ইঙ্গিতপূর্ণ গালি দেওয়া হয়েছে, মন্তব্যটি অত্যন্ত আক্রমণাত্মক এবং মর্যাদাহানিকর।"
2322,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,এসব মেয়েদের যারা বিয়ে করবে তারা পরে পশতাতে হবে এরা ডাইরেক পতিতা।,H,"Female,Group","Abusive/Violence,Personal Offence","এখানে মেয়েদের ""পতিতা"" বলা হয়েছে, যা অত্যন্ত অবমাননাকর এবং অপমানজনক। এই ধরনের ভাষা ব্যবহার করে নারীদের প্রতি ঘৃণা ও বিদ্বেষ ছড়ানো হচ্ছে এবং তাদের সম্মানহানি করা হচ্ছে।"
2323,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,মাগী!!!!!! তদের মুখ ভরে!!!!!!! হাগী।,H,"Female,Group","Abusive/Violence,Abusive/Violence","‘মাগী’ একটি জঘন্য গালি এবং ‘মুখ ভরে হাগী’ বলার মাধ্যমে চরম অবমাননা ও ঘৃণা প্রকাশ করা হয়েছে, উক্তিটি সহিংস মনোভাবের ইঙ্গিত।"
2324,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,তোদের দেখলে ছেলেদের দারিয়ে যায় তাইতো ধর্শন করে। লিঙ্গেরো তো স্বাধীনতা আছে কি করবে?,H,Female,"Abusive/Violence,Abusive/Violence,Personal Offence","যৌন প্ররোচনার জন্য ভুক্তভোগীকে সরাসরি দায়ী করে ধর্ষণকে স্বাভাবিকীকরণ করা হয়েছে, যা চরম অবমাননা ও সহিংসতার ইঙ্গিত দেয়।"
2325,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,"ধর্ষণ কি তোদের এমনি করে,,তুই খুলে বেরা,,তোর দিকে কুত্তাও তাকাবে না",H,Female,"Abusive/Violence,Abusive/Violence,Personal Offence","নারীকে ধর্ষণের হুমকি ও কুরুচিপূর্ণ ভাষায় আক্রমণ করা হয়েছে, যেখানে তাকে কুত্তার সঙ্গে তুলনা করে চরম অপমান করা হয়েছে। এই ধরনের মন্তব্য সরাসরি সহিংসতা ও ব্যক্তিগত বিদ্বেষমূলক।"
2326,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,কুত্তি গুলি কে কে বা কারা কুকুরের খাছা থেকে বের করেছে খাইছে রাখ সবুর কর তোদের আফ্রিকা পাঠানোর ব্যবস্তা করছি,H,"Female,Group","Abusive/Violence,Abusive/Violence,Personal Offence","এখানে ""কুত্তি"" শব্দটি ব্যবহার করে নারীদের প্রতি চরম অবজ্ঞা প্রকাশ করা হয়েছে, এবং ""আফ্রিকা পাঠানোর ব্যবস্থা করছি"" বলে একটি বিশেষ গোষ্ঠীকে স্থানান্তরিত করার হুমকি দেওয়া হয়েছে, যা সহিংসতা ও ব্যক্তিগত আক্রমণের শামিল। এই ধরনের ভাষা বিদ্বেষপূর্ণ এবং আক্রমণাত্মক।"
2327,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,তাদের কে কুকুরের মতো লাগে তাই,H,"Female,Group","Body Shaming,Abusive/Violence","শারীরিক বৈশিষ্ট্য নিয়ে তুলনা করে ‘কুকুরের মতো লাগে’ বলা হয়েছে, বাক্তব্যটি অত্যন্ত অপমানজনক এবং বডি শেমিং-এর শামিল। এই ধরনের মন্তব্য দ্বারা ব্যক্তি বিশেষের প্রতি ঘৃণা প্রকাশ করা হয়েছে।"
2328,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,"ভালো পোশাক পরলে তাও একটু ভালো লাগতো,,, রুপ দেখে তো কুত্তা ও পেসাব করবে না",H,Female,"Body Shaming,Abusive/Violence","শারীরিক সৌন্দর্য নিয়ে কুরুচিপূর্ণ মন্তব্য করা হয়েছে, যেখানে ""কুত্তা ও পেসাব করবে না"" বলার মাধ্যমে চরমভাবে বডি শেমিং ও অবমাননা করা হয়েছে।"
2329,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,"ভাই,,এদের দিকে,কে তাকাইছে??কই সে??,আমি, আসতেছি তার চোখ তুলতে......😂😂😂😅😅সমাজের মানুষের কী রুচির দুর্ভিক্ষ দেখা দিচে নাকি??",H,Female,"Body Shaming,Personal Offence","'চোখ তুলতে আসতেছি' বলে শারীরিক ক্ষতির হুমকি এবং 'রুচির দুর্ভিক্ষ' শব্দ ব্যবহার করে সৌন্দর্যবোধ নিয়ে ব্যঙ্গ করা হয়েছে, উক্তিটি অপমানজনক।"
2330,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,"এটারে পয়দা করছে কেডা,, অসম্ভব বিশ্রী চেহারা",H,Female,"Body Shaming,Personal Offence","'বিশ্রী চেহারা' বলে সরাসরি কুৎসিত বলা হয়েছে, আচরণটি ব্যক্তির শারীরিক বৈশিষ্ট্য নিয়ে চরম অপমানজনক মন্তব্য। এই ধরনের মন্তব্য ব্যক্তির আত্মসম্মানে আঘাত করে।"
2331,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,এদের একটারও চেহারা সুরত ভালো না এদের দিকে কে তাকাবে,H,"Female,Group","Body Shaming,Personal Offence","'চেহারা সুরত ভালো না' বলে বাহ্যিক সৌন্দর্য নিয়ে মন্তব্য করা হয়েছে, বাক্তব্যটি বডি শেমিং এবং ব্যক্তিগত অপমানের শামিল।"
2332,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,আরে ওর যা চেহারা ওর দিকে কুত্তাও তাকাবে না।,H,Female,"Body Shaming,Personal Offence","চেহারা নিয়ে কুরুচিপূর্ণ মন্তব্য করা হয়েছে, যেখানে একজন মানুষের প্রতি চরম অবজ্ঞা প্রকাশ করতে ""কুত্তাও তাকাবে না"" বলা হয়েছে, আচরণটি অত্যন্ত অপমানজনক।"
2333,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,তুই লেংটাহয় হাট তোর থেকে রাস্তার কুকুর কে সুন্দর লাগে খোলা জিনিস মাসি বসবে কেউ তোদেরকে বিয়ে করবে না,H,"Female,Group","Body Shaming,Personal Offence","‘লেংটাহয় হাট’ এবং ‘কুকুর কে সুন্দর লাগে’ বলার মাধ্যমে শরীর নিয়ে বিদ্রুপ করা হয়েছে, যাBody Shaming-এর উদাহরণ। এই ধরনের মন্তব্য ব্যক্তির আত্মমর্যাদাকে ক্ষুন্ন করে।"
2334,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,"তোমার তো মানুষের সমাজে মনে হয় না, তোমার জন্য চিড়িয়াখানা উত্ত ম, তোমার যে সুরত তোমার দিকে কেউ তাকাবে না বাবা",H,Female,"Body Shaming,Personal Offence","'চিড়িয়াখানা উত্তম' বলার মাধ্যমে চেহারা ও ব্যক্তিত্বকে ব্যঙ্গ করা হয়েছে, উক্তিটি বডি শেমিং ও ব্যক্তিগত আক্রমণমূলক। এই ধরনের মন্তব্য ব্যক্তির আত্মসম্মানে আঘাত করে এবং সামাজিকভাবে হেয় করে তোলে।"
2335,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,"আল্লাহ্ মাফ করুন, কারোর চেহারা নিয়ে মন্তব্য করা ঠিক না কারণ প্রতিটি মানুষের মুখমণ্ডল আল্লাহ্ নিজ হাতে তৈরী করছে, তারপরও এখানে দারানো মেয়েগুলোর চেহারা খেয়াল করুন, ওদের দিকে কোনো রুচিসম্মত মানুষ তাকাবে, শালার ওঁরা এসেছে পোশাকের স্বাধীনতা চাইতে, আমার মনে হয় খারাপ জায়গায় থাকলেও সারাদিনে খদ্দের পাবেনা।😡",H,Female,"Body Shaming,Personal Offence","নারীর পোশাক ও চেহারা নিয়ে কুরুচিপূর্ণ মন্তব্য করা হয়েছে, এবং তাদের ""খারাপ জায়গায় থাকলেও খদ্দের পাবে না"" বলার মাধ্যমে চরম অপমান করা হয়েছে, উক্তিটি বডি শেমিং ও ব্যক্তিগত আক্রমণের শামিল।"
2336,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,ও কী নিজের চেহারাটা বয়নায় দেখছে??পুরায় কুকুরের মত লাগতেছে।,H,Female,"Body Shaming,Personal Offence,Abusive/Violence","চেহারাকে কুকুড়ের সাথে তুলনা করে কদর্য বলা হয়েছে, বাক্যটি সরাসরি বডি শেমিং এবং অপমানজনক। এই ধরনের মন্তব্য ব্যক্তির আত্মমর্যাদাকে ক্ষুন্ন করে।"
2337,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,এক একটার চেহারা দেখছেন এদেরকে কুত্তাও করবেনা।সব গুলো হিজরা,H,"Female,Group","Body Shaming,Personal Offence,Abusive/Violence","চেহারা নিয়ে কুরুচিপূর্ণ মন্তব্য এবং ""হিজড়া"" বলাতে ব্যক্তি ও শারীরিক গঠন নিয়ে চরম অবজ্ঞা প্রকাশ করা হয়েছে, উক্তিটি অত্যন্ত অপমানজনক।"
2338,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,"আপু এসব জিনিসকে স্বাধীনতা বলেনা,,বলে স্বেচ্চাচারিতা। যেটা স্বৈরাচারীতারই খুদ্র একটি রূপ।।",H,Female,Personal Offence,"এখানে ""স্বেচ্ছাচারিতা"" ও ""স্বৈরাচারীতার ক্ষুদ্র রূপ"" বলার মাধ্যমে ব্যক্তির কাজকর্মকে নেতিবাচক ও নিন্দনীয় প্রমাণ করার চেষ্টা করা হয়েছে, যা ব্যক্তিগত আক্রমণ।"
2339,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,"পাগল দেখলেই তো তাকাবেই 😅😅😅 মেয়ে হয়ে লজ্জিত,,এই মহিলা দের জন্য 😅😅😅",H,Female,Personal Offence,'পাগল' আখ্যা দিয়ে মানসিক স্বাস্থ্য নিয়ে উপহাস করা হয়েছে এবং ‘মহিলাদের জন্য লজ্জিত’ বলে সামগ্রিকভাবে নারীদের প্রতি অপমানজনক মনোভাব প্রকাশ করা হয়েছে। এই মন্তব্যের মাধ্যমে ব্যক্তি আক্রমণ করা হয়েছে।
2340,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,এরা বাড়ি যায়না আর এদের এলাকায় মানুষ নায় যে এরা আবার আসার সুজগ পায় কেবাকরে জানতি মন চায়,H,Female,Personal Offence,"""এরা বাড়ি যায়না"" বলার মাধ্যমে তাদের আবাসস্থল নেই এমন ইঙ্গিত দেওয়া হয়েছে এবং ""এদের এলাকায় মানুষ নায়"" বলার মাধ্যমে তাদের মনুষ্যত্বহীন প্রতিপন্ন করার চেষ্টা করা হয়েছে, উক্তিটি চরম অপমানজনক।"
2341,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,নারীরা অর্ধেক কাপড়ে থাকলে আপনার লজ্জা হয় না কাপড় পড়লে লজ্জা হয় আপনাদের,H,"Female,Group",Personal Offence,"নারীদের পোশাক নিয়ে মন্তব্য করা হয়েছে, উক্তিটি ব্যক্তিগত শালীনতাবোধের ওপর সরাসরি আক্রমণ এবং তাদের প্রতি অসম্মানজনক।"
2342,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,কিছু বলার ভাষা নেই বাংলায় থাকতে হলে বাইরের কথা কেন আসবে সব দেশেরি একটা আইন কানুন আছে বাংলায় ৯৯ পারসেন মুসলিম তো মুসলিমের পোশাকের একটা নিয়ম নিতি আছে এখানে যারা পোশাকের সাধীনতা নিয়ে কথা বলছে তাদের জন্য আমার  সোনার বাংলা না যারা যে দেশের কথা বলে সে সেই দেশে যাও,H,Female,Personal Offence,"""৯৯ পার্সেন্ট মুসলিম"" উল্লেখ করে পোশাকের স্বাধীনতার বিরোধিতাকারীদের দেশ ছাড়ার কথা বলা হয়েছে, বাক্তব্যটি একটি বিশেষ গোষ্ঠীর প্রতি বিদ্বেষপূর্ণ মনোভাব প্রকাশ করে। এই মন্তব্যের মাধ্যমে ধর্মীয় পরিচয় ব্যবহার করে অন্যদের অধিকার অস্বীকার করা হয়েছে।"
2343,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,"আপনি বে পর্দা ভাবে থাকবেন, আর মানুষ তাকালেই দোষ। আজব দুনিয়া।",H,Female,Personal Offence,"পোশাকের মাধ্যমে ব্যক্তিগত পছন্দকে আক্রমণ করে, অন্যের দৃষ্টির জন্য ভুক্তভোগীকে দোষ দেওয়া হয়েছে, বাক্যটি স্পষ্টতই আক্রমণাত্মক।"
2344,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,"ওইসব দেশে চলে গেলেই হয়,দেশের সংস্কৃতিকে নিচে না নামিয়ে!",H,Female,Personal Offence,'ওইসব দেশে চলে গেলেই হয়' বলে কাউকে দেশ ছাড়তে বলা এবং দেশের সংস্কৃতিকে নিচে নামানোর অভিযোগ ইঙ্গিতপূর্ণভাবে ব্যক্তিগত আক্রমণ।
2345,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,এধরনের আন্দোলন বাংলাদেশেই হওয়া সম্ভব। ছিঃ ঘৃণা হচ্ছে তোদের কে দেখে।,H,"Female,Group",Personal Offence,"'ছিঃ ঘৃণা হচ্ছে তোদের কে দেখে' বলে একটি নির্দিষ্ট গোষ্ঠীর প্রতি সরাসরি ঘৃণা প্রকাশ করা হয়েছে, আচরণটি চরম ব্যক্তিগত বিদ্বেষের শামিল।"
2346,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,এগুলা হচ্ছে অতিরিক্ত পর্ন ভিডিও দেখার প্রভাব।,H,Female,Personal Offence,"কারও ব্যক্তিগত কাজকর্মের প্রতি খারাপ ধারণা তৈরি করার চেষ্টা করা হয়েছে, মন্তব্যটি ব্যক্তিগত অপমানের শামিল।"
2347,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,এদের কি মা বাপ নেই এক এক দেশের এক এক কালচার আমার মনে হয় এরা শুধু  গেঞ্জি পরতে চায়।,H,Female,"Personal Offence,Personal Offence",পোশাকের পছন্দ নিয়ে মন্তব্য করে শালীনতা ও মূল্যবোধের অভাবের অভিযোগের মাধ্যমে ব্যক্তিগত আক্রমণ করা হয়েছে।
2348,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,"এদের আসলে পারিবারিক শিক্ষার অভাব। একটা মেয়ে ব্লাউজ ছাড়া শাড়ি পড়ে ঘর থেকে বেরিয়ে গেল, অথচ তার বাবা মা তাকে কিছুই বললো না..!! আজ সে ব্লাউজ ছাড়া বেরিয়েছে, 
কাল তো কাপড় ছাড়াই বেরিয়ে রাস্তায়-রাস্তায়  ঘুরবে।",H,Female,"Personal Offence,Personal Offence","পারিবারিক শিক্ষা নিয়ে প্রশ্ন তুলে নারীর পোশাকের স্বাধীনতার বিরুদ্ধে কুরুচিপূর্ণ মন্তব্য করা হয়েছে, যা ব্যক্তিগত আক্রমণ ও শালীনতাবর্জিত। ""কাপড় ছাড়াই বেরিয়ে রাস্তায়-রাস্তায় ঘুরবে"" এমন কথা বলার মাধ্যমে চূড়ান্তভাবে নারীর প্রতি বিদ্বেষ প্রকাশ করা হয়েছে।"
2349,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,এসব নারী রূপি পশুদের জন্যই আজ বেহাল দশা। ব্যক্তি জীবনে সবচেয়ে নোংরা মানষিকতার পরিচয় পেয়েছি মেয়েদের।  তারা পুরুষের চেয়েও অনেক বেশি আক্রমনাত্মক এবং নোংরা।,H,"Female,Group","Gender,Abusive/Violence","নারীদেরকে ‘পশু’ আখ্যা দিয়ে চরমভাবে অপমান করা হয়েছে, সেই সাথে তাদের মানসিকতাকে ‘নোংরা’ এবং ‘আক্রমণাত্মক’ বলা হয়েছে, বাক্যটি সামগ্রিকভাবে নারীদের প্রতি বিদ্বেষপূর্ণ ও আক্রমণাত্মক।"
2350,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,বাংলাদেশে ধর্ষণের বিচার নাই তাই পোশাকের স্বাধীনতা দেওয়া হয় না !,H,Country,Origin,পোশাকের স্বাধীনতার সাথে ধর্ষণের বিচার না থাকার সম্পর্ক তৈরি করে বাংলাদেশের বিচার ব্যবস্থার প্রতি ঘৃণা প্রকাশ করা হয়েছে। এই ধরনের মন্তব্য দেশের ভাবমূর্তি ক্ষুন্ন করে।
2351,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,যাদের ইজ্জত দেখিয়ে অভ্যাস তারা কি বুঝে পোশাকের মরযাদা।এ গুলো কোনো ভদ্র ঘরের হতে পারেনা বেয়াদব কোথাকার।,H,"Female,Group",Personal Offence,"পোশাকের শালীনতা নিয়ে প্রশ্ন তুলে ""বেয়াদব কোথাকার"" বলা হয়েছে, যা সরাসরি আক্রমণাত্মক এবং ব্যক্তির বংশ ও রুচি নিয়ে খারাপ ধারণা দেয়। এই কারণে মন্তব্যটি অপমানজনক।"
2352,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,তোমার গায়ে তো পোশাকেই নাই তার স্বাধীনতা কি নিচেরটাও খুলে ফেল,H,Female,Personal Offence,পোশাক নিয়ে কুরুচিপূর্ণ মন্তব্য করা হয়েছে এবং শালীনতা অতিক্রম করে ব্যক্তিগত আক্রমণ করা হয়েছে।
2353,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,আপনি লে;টা হয়ে চলুন।,H,Female,Personal Offence,"এখানে কাউকে ""লেংটা হয়ে চলুন"" বলা হয়েছে, বাক্যটি সরাসরি অশ্লীল এবং অপমানজনক। এই ধরনের ভাষা ব্যবহার করে ব্যক্তির সম্মান ও মর্যাদাকে চরমভাবে ক্ষুন্ন করা হয়।"
2354,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,তোমারা পোশাক না পরেই গোড়,H,Female,Personal Offence,"পোশাক না পরার কথা উল্লেখ করে ব্যক্তির শালীনতা ও রুচিবোধ নিয়ে প্রশ্ন তোলা হয়েছে, বাক্তব্যটি ব্যক্তিগত আক্রমণ ও মর্যাদাহানির শামিল।"
2355,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,🤮🤮🤮🤮ওকে দেখে আমার ভমি হচ্ছে 🤮🤮,H,Female,Personal Offence,"‘বমি হচ্ছে’ বলার মাধ্যমে ব্যক্তিটিকে অত্যন্ত অপছন্দ ও ঘৃণা প্রকাশ করা হয়েছে, উক্তিটি চরম ব্যক্তিগত অপমানের শামিল।"
2356,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,ওরে শয়তান মহিলা,H,Female,Personal Offence,"‘শয়তান মহিলা’ শব্দগুচ্ছ একজন নারীর চরিত্রকে সরাসরি আক্রমণ করে, বাক্তব্যটি তার ব্যক্তিগত মর্যাদা ক্ষুণ্ন করে।"
2357,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,তুই একটা নিকৃষ্ট মহিলা এক লারকি মেরে সামনে না আমায়,H,Female,Personal Offence,‘নিকৃষ্ট মহিলা’ বলে সরাসরি ব্যক্তির চরিত্রহনন এবং তার মর্যাদাকে হেয় করা হয়েছে।
2358,"বাংলাদেশে পোশাকের স্বাধীনতা কেন নেই, আমাকে আলাদাভাবে কেন সেটা চাইতে হবে? - শিক্ষার্থী",https://youtube.com/watch?v=wup56Ncq7Q0,05-09-2022,News & Politics,সালি তুই নেংটা হয়ে চল নষ্ট,H,Female,Personal Offence,"নারীকে উদ্দেশ্য করে যৌন ইঙ্গিতপূর্ণ ও অশালীন ভাষা ব্যবহার করা হয়েছে, মন্তব্যটি অত্যন্ত অপমানজনক।"
